id	genus	specificepithet	status
280	Eriogonum	grande	native
281	Eriophyllum	confertiflorum	native
282	Eriophyllum	nevinii	native
283	Eriophyllum	staechadifolium	native
284	Erodium	botrys	introduced
285	Erodium	cicutarium	introduced
286	Erodium	macrophyllum	native
287	Erodium	moschatum	introduced
288	Erodium	texanum	native
289	Erysimum	ammophilum	native
290	Erysimum	insulare	native
291	Eschscholzia	californica	native
292	Eschscholzia	ramose	native
293	Eucalyptus	camaldulensis	introduced
294	Eucalyptus	sideroxylon	introduced
295	Eucalyptus	tereticornis	introduced
296	Eucrypta	chrysanthemifolia	native
297	Euphorbia	misera	native
298	Euphorbia	peplus	introduced
299	Euthamia	occidentalis	native
300	Festuca	arundinacea	introduced
301	Ficus	carica	introduced
302	Filago	arizonica	native
303	Filago	californica	native
304	Filago	gallica	introduced
305	Foeniculum	vulgare	introduced
306	Frankenia	salina	native
307	Fremont	cottonwood	native
308	Galium	angustifolium	native
309	Galium	buxifolium	native
310	Galium	californicum	native
311	Galium	nuttallii	native
312	Galium	parisiense	native
313	Galium	porrigens	native
314	Gambelia	speciose	native
315	Garland	chrysanthemum	native
316	Garrya	veatchii	native
317	Gastridium	ventricosum	introduced
318	Gaura	drummondii	introduced
319	Geranium	carolinianum	native
320	Geranium	dissectum	introduced
321	Gilia	achilleifolia	native
322	Gilia	angelensis	native
323	Gilia	capitate	native
324	Gilia	clivorum	native
325	Gilia	nevinii	native
326	Gilia	tenuiflora	native
327	Githopsis	diffusa	native
328	Gnaphalium	bicolor	native
329	Gnaphalium	californicum	native
330	Gnaphalium	canescens	native
331	Gnaphalium	luteo	introduced
332	Gnaphalium	palustre	native
333	Gnaphalium	purpureum	native
334	Gnaphalium	ramosissimum	native
335	Gnaphalium	stramineum	native
336	Grindelia	camporum	native
337	Grindelia	hirsutula	native
338	Grindelia	stricta	native
339	Guillenia	lasiophylla	native
340	Hazardia	deonsa	native
341	Hazardia	squarrosa	native
342	Hedypnois	cretica!!	introduced
343	Helianthemum	greenei	native
344	Helianthemum	scoparium	native
345	Helianthus	annuus	native
346	Helichrysmum	petiolare	native
347	Heliotropium	curassavicum	native
348	Hemizonia	clementina	native
349	Hemizonia	fasciculata	native
350	Hemizonia	fitchii	native
351	Hemizonia	increscens	native
352	Herniaria	hirsute	introduced
353	Hesperevax	sparsiflora	native
354	Hesperocnide	tenella	native
355	Heteromeles	arbutifolia	native
356	Heterotheca	grandiflora	native
357	Heuchera	maxima	native
358	Hieracium	argutum	native
359	Hirschfeldia	incana	introduced
360	Holodiscus	discolor	native
361	Hordeum	depressum	native
362	Hordeum	intercedens	native
363	Hordeum	murinum	introduced
364	Hordeum	vulgare	introduced
365	Horedum	murinum	introduced
366	Hutchinsia	procumbens	native
367	Hypochaeris	glabra	introduced
368	Isocoma	menziesii	native
369	Isomeris	arborea	native
370	Jaumea	carnosa	native
371	Jepsonia	malvifolia	native
372	Joined	goatgrass	native
373	Juglans	regia	introduced
374	Juncus	balticus	native
375	Juncus	bufonius	native
376	Juncus	effuses	native
377	Juncus	mexicanus	native
378	Juncus	patens	native
379	Juncus	phaeocephalus	native
380	Juncus	xiphioides	native
381	Keckiella	cordifolia	native
382	Koeleria	macrantha	native
383	Koeleria	phleoides	introduced
384	Lactuca	saligna	introduced
385	Lactuca	serriola	introduced
386	Lamarckia	aurea	introduced
387	Lamium	amplexicaule	introduced
388	Lastarriaea	coriacea	native
389	Lasthenia	californica	native
390	Lasthenia	glabrata	native
391	Lathyrus	vestitus	native
392	Lavatera	assurgentiflora	native
393	Lavatera	cretica	introduced
394	Layia	platyglossa	native
395	Lemna	minor	native
396	Lepechinia	fragrans	native
397	Lepidium	latipes	native
398	Lepidium	nitidum	native
399	Lepidium	oblongum	native
400	Lepidium	virginicum	native
401	Lepidospartum	squamatum	native
402	Lessingia	filaginifolia	native
403	Leymus	pacificus	native
404	Leymus	triticoides	native
405	Lilium	humboldtii	native
406	Limonium	sinuatum	introduced
407	Linanthus	dianthiflorus	native
408	Linanthus	parviflorus	native
409	Lithophragma	cymbalaria	native
410	Lobularia	maritima	introduced
411	Lolium	multiflorum	introduced
412	Lolium	perenne	introduced
413	Lolium	temulentum	introduced
414	Lomatium	caruifolium	native
415	Lonicera	hispidula	native
416	Lonicera	interrupta	native
417	Lonicera	subspicata	native
418	Lotus	argophyllus	native
419	Lotus	corniculatus	introduced
420	Lotus	dendroideus	native
421	Lotus	grandiflorus	native
422	Lotus	hamatus	native
423	Lotus	micranthus	native
424	Lotus	purshianus	native
425	Lotus	salsuginosus	native
426	Lotus	strigosus	native
427	Ludwigia	peploides	native
428	Lupinus	albifrons	native
429	Lupinus	arboreus	native
430	Lupinus	bicolor	native
431	Lupinus	chamissonis	native
432	Lupinus	hirsutissimmus	native
433	Lupinus	microcarpus	native
434	Lupinus	succulentus	native
435	Lupinus	truncates	native
436	Lupinus	variicolor	native
437	Luzula	comosa	native
438	Lycium	californicum	native
439	Lycium	fremontii	native
440	Lycopersicum	esculentum	introduced
441	Lyonothamnus	floribundus	native
442	Lythrum	californicum	native
443	Lythrum	hyssopifolium	introduced
444	Madia	exigua	native
445	Madia	gracilis	native
446	Madia	sativa	native
447	Madrid	brome	native
448	Malacothamnus	fasciculatus	native
449	Malacothrix	clevelandii	native
450	Malacothrix	coulteri	native
451	Malacothrix	foliosa	native
452	Malacothrix	incana	native
453	Malacothrix	indecora	native
454	Malacothrix	junakii	native
455	Malacothrix	saxatilis	native
456	Malacothrix	similis	native
457	Malacothrix	squalida	native
458	Malephora	crocea	introduced
459	Malva	nicaeensis	introduced
460	Malva	parvilflora	introduced
